year,constructorId,constructor_points_season
1975,73,5.0
1975,74,0.0
1975,75,3.0
1975,76,0.0
1975,202,9.5
1975,203,0.0
1976,1,88.0
1976,3,0.0
1976,6,99.0
1976,25,88.0
1976,27,20.0
1976,32,32.0
1976,37,19.0
1976,56,3.0
1976,57,2.0
1976,58,10.0
1976,59,0.0
1976,63,7.0
1976,64,0.0
1976,66,0.0
1976,67,20.0
1976,70,0.0
1976,72,0.0
1976,73,1.0
1976,74,0.0
1976,182,0.0
1976,204,11.0
1977,1,65.0
1977,4,0.0
1977,6,114.0
1977,25,27.0
1977,27,18.0
1977,32,67.0
1977,34,27.0
1977,37,0.0
1977,56,11.0
1977,57,10.0
1977,58,24.0
1977,59,55.0
1977,63,6.0
1977,64,0.0
1977,66,0.0
1977,67,1.0
1977,68,0.0
1977,69,0.0
1977,70,0.0
1977,71,0.0
1977,72,0.0
1978,1,16.0
1978,3,11.0
1978,4,3.0
1978,6,65.0
1978,21,11.0
1978,25,41.0
1978,27,19.0
1978,32,116.0
1978,34,69.0
1978,54,0.0
1978,55,0.0
1978,56,17.0
1978,57,1.0
1978,58,6.0
1978,59,24.0
1978,60,0.0
1978,63,1.0
1978,64,0.0
1978,65,0.0
1979,1,15.0
1979,3,75.0
1979,4,26.0
1979,6,113.0
1979,21,5.0
1979,25,28.0
1979,27,61.0
1979,32,39.0
1979,51,0.0
1979,54,2.0
1979,56,1.0
1979,57,0.0
1979,58,3.0
1979,59,0.0
1979,60,0.0
1979,61,0.0
1979,62,0.0
1979,182,0.0
1979,204,7.0
1980,1,11.0
1980,3,120.0
1980,4,38.0
1980,6,8.0
1980,21,11.0
1980,25,12.0
1980,27,66.0
1980,32,14.0
1980,34,55.0
1980,45,0.0
1980,51,4.0
1980,54,0.0
1980,56,11.0
1980,57,0.0
1980,58,0.0
1981,1,28.0
1981,3,95.0
1981,4,54.0
1981,6,34.0
1981,21,10.0
1981,25,10.0
1981,27,44.0
1981,32,22.0
1981,34,61.0
1981,37,0.0
1981,45,0.0
1981,51,10.0
1981,53,0.0
1981,54,1.0
1981,55,1.0
1981,56,0.0
1981,57,5.0
1982,1,69.0
1982,3,58.0
1982,4,62.0
1982,6,74.0
1982,21,5.0
1982,25,25.0
1982,27,20.0
1982,32,30.0
1982,34,41.0
1982,37,0.0
1982,45,3.0
1982,51,7.0
1982,53,0.0
1982,54,4.0
1982,55,0.0
1982,56,1.0
1982,57,0.0
1983,1,34.0
1983,3,38.0
1983,4,79.0
1983,6,89.0
1983,21,4.0
1983,25,12.0
1983,27,0.0
1983,32,12.0
1983,34,72.0
1983,45,0.0
1983,50,0.0
1983,51,18.0
1983,52,0.0
1983,53,10.0
1983,54,0.0
1983,55,1.0
1984,1,143.5
1984,3,25.5
1984,4,34.0
1984,6,57.5
1984,21,6.0
1984,25,0.0
1984,27,3.0
1984,32,47.0
1984,34,38.0
1984,45,2.0
1984,50,0.0
1984,51,11.0
1984,52,0.0
1984,53,16.0
1984,54,0.0
1985,1,90.0
1985,3,71.0
1985,4,16.0
1985,6,82.0
1985,18,0.0
1985,21,14.0
1985,25,7.0
1985,26,0.0
1985,27,23.0
1985,32,71.0
1985,34,26.0
1985,45,0.0
1985,49,0.0
1985,50,0.0
1985,51,0.0
1985,52,0.0
1985,53,0.0
1986,1,96.0
1986,3,141.0
1986,6,37.0
1986,18,0.0
1986,21,1.0
1986,22,19.0
1986,25,11.0
1986,26,6.0
1986,27,29.0
1986,32,58.0
1986,34,2.0
1986,39,0.0
1986,45,0.0
1986,49,0.0
1987,1,76.0
1987,3,137.0
1987,6,53.0
1987,18,0.0
1987,21,11.0
1987,22,28.0
1987,25,11.0
1987,27,1.0
1987,32,64.0
1987,33,3.0
1987,34,10.0
1987,37,1.0
1987,39,1.0
1987,42,0.0
1987,45,0.0
1987,49,2.0
1988,1,199.0
1988,3,20.0
1988,6,65.0
1988,18,1.0
1988,21,23.0
1988,22,39.0
1988,25,5.0
1988,27,0.0
1988,32,23.0
1988,33,0.0
1988,35,0.0
1988,37,22.0
1988,39,0.0
1988,42,0.0
1988,44,0.0
1988,45,0.0
1988,48,3.0
1988,49,0.0
1989,1,141.0
1989,3,77.0
1989,6,59.0
1989,18,6.0
1989,21,13.0
1989,22,39.0
1989,25,16.0
1989,27,3.0
1989,32,15.0
1989,33,1.0
1989,34,8.0
1989,35,8.0
1989,37,4.0
1989,39,1.0
1989,42,0.0
1989,44,0.0
1989,45,0.0
1989,46,6.0
1989,48,3.0
1989,49,0.0
1990,1,121.0
1990,3,57.0
1990,6,110.0
1990,18,0.0
1990,21,2.0
1990,22,71.0
1990,25,16.0
1990,27,0.0
1990,32,3.0
1990,33,11.0
1990,34,2.0
1990,35,0.0
1990,39,0.0
1990,41,7.0
1990,42,0.0
1990,44,0.0
1990,45,0.0
1990,46,0.0
1990,47,0.0
1991,1,139.0
1991,3,125.0
1991,6,55.5
1991,17,13.0
1991,18,6.0
1991,22,38.5
1991,25,12.0
1991,26,1.0
1991,27,0.0
1991,29,0.0
1991,32,3.0
1991,33,1.0
1991,34,3.0
1991,35,5.0
1991,36,0.0
1991,39,0.0
1991,40,0.0
1991,41,1.0
1991,42,0.0
1992,1,99.0
1992,3,164.0
1992,6,21.0
1992,17,1.0
1992,18,1.0
1992,22,91.0
1992,25,8.0
1992,27,6.0
1992,29,6.0
1992,32,13.0
1992,33,1.0
1992,34,0.0
1992,35,2.0
1992,36,0.0
1992,37,3.0
1992,38,0.0
1993,1,84.0
1993,3,168.0
1993,6,28.0
1993,15,12.0
1993,17,3.0
1993,18,7.0
1993,22,72.0
1993,25,0.0
1993,26,0.0
1993,27,23.0
1993,29,4.0
1993,32,12.0
1993,33,3.0
1994,1,42.0
1994,3,118.0
1994,6,71.0
1994,15,12.0
1994,17,28.0
1994,18,5.0
1994,22,103.0
1994,25,13.0
1994,27,13.0
1994,29,9.0
1994,30,0.0
1994,31,0.0
1994,32,0.0
1994,33,2.0
1995,1,30.0
1995,3,118.0
1995,6,73.0
1995,15,18.0
1995,17,21.0
1995,18,1.0
1995,22,147.0
1995,25,5.0
1995,27,24.0
1995,28,0.0
1995,29,5.0
1995,30,0.0
1995,31,0.0
1996,1,49.0
1996,3,175.0
1996,6,70.0
1996,15,11.0
1996,17,22.0
1996,18,0.0
1996,22,68.0
1996,25,5.0
1996,27,15.0
1996,28,0.0
