raceId,year,round,circuitId,date,safety_car
527,1978,1,25,1978-01-15,0
528,1978,2,36,1978-01-29,0
529,1978,3,30,1978-03-04,0
530,1978,4,43,1978-04-02,0
531,1978,5,6,1978-05-07,0
532,1978,6,40,1978-05-21,0
533,1978,7,45,1978-06-04,0
534,1978,8,47,1978-06-17,0
535,1978,9,34,1978-07-02,0
536,1978,10,38,1978-07-16,0
537,1978,11,10,1978-07-30,0
538,1978,12,70,1978-08-13,0
539,1978,13,39,1978-08-27,0
540,1978,14,14,1978-09-10,0
541,1978,15,46,1978-10-01,0
542,1978,16,7,1978-10-08,0
543,1977,1,25,1977-01-09,0
544,1977,2,18,1977-01-23,0
545,1977,3,30,1977-03-05,0
546,1977,4,43,1977-04-03,0
547,1977,5,45,1977-05-08,0
548,1977,6,6,1977-05-22,0
549,1977,7,40,1977-06-05,0
550,1977,8,47,1977-06-19,0
551,1977,9,41,1977-07-03,0
552,1977,10,9,1977-07-16,0
553,1977,11,10,1977-07-31,0
554,1977,12,70,1977-08-14,0
555,1977,13,39,1977-08-28,0
556,1977,14,14,1977-09-11,0
557,1977,15,46,1977-10-02,0
558,1977,16,48,1977-10-09,0
559,1977,17,16,1977-10-23,0
560,1976,1,18,1976-01-25,0
561,1976,2,30,1976-03-06,0
562,1976,3,43,1976-03-28,0
563,1976,4,45,1976-05-02,0
564,1976,5,40,1976-05-16,0
565,1976,6,6,1976-05-30,0
566,1976,7,47,1976-06-13,0
567,1976,8,34,1976-07-04,0
568,1976,9,38,1976-07-18,0
569,1976,10,20,1976-08-01,0
570,1976,11,70,1976-08-15,0
571,1976,12,39,1976-08-29,0
572,1976,13,14,1976-09-12,0
573,1976,14,48,1976-10-03,0
574,1976,15,46,1976-10-10,0
575,1976,16,16,1976-10-24,0
576,1975,1,25,1975-01-12,0
577,1975,2,18,1975-01-26,0
578,1975,3,30,1975-03-01,0
579,1975,4,49,1975-04-27,0
580,1975,5,6,1975-05-11,0
581,1975,6,40,1975-05-25,0
582,1975,7,47,1975-06-08,0
583,1975,8,39,1975-06-22,0
584,1975,9,34,1975-07-06,0
585,1975,10,9,1975-07-19,0
586,1975,11,20,1975-08-03,0
587,1975,12,70,1975-08-17,0
588,1975,13,14,1975-09-07,0
589,1975,14,46,1975-10-05,0
590,1974,1,25,1974-01-13,0
591,1974,2,18,1974-01-27,0
592,1974,3,30,1974-03-30,0
593,1974,4,45,1974-04-28,0
594,1974,5,50,1974-05-12,0
595,1974,6,6,1974-05-26,0
596,1974,7,47,1974-06-09,0
597,1974,8,39,1974-06-23,0
598,1974,9,41,1974-07-07,0
599,1974,10,38,1974-07-20,0
600,1974,11,20,1974-08-04,0
601,1974,12,70,1974-08-18,0
602,1974,13,14,1974-09-08,0
603,1974,14,48,1974-09-22,0
604,1974,15,46,1974-10-06,0
605,1973,1,25,1973-01-28,0
606,1973,2,18,1973-02-11,0
607,1973,3,30,1973-03-03,0
608,1973,4,49,1973-04-29,0
609,1973,5,40,1973-05-20,0
610,1973,6,6,1973-06-03,0
611,1973,7,47,1973-06-17,0
612,1973,8,34,1973-07-01,0
613,1973,9,9,1973-07-14,0
614,1973,10,39,1973-07-29,0
615,1973,11,20,1973-08-05,0
616,1973,12,70,1973-08-19,0
617,1973,13,14,1973-09-09,0
618,1973,14,48,1973-09-23,0
619,1973,15,46,1973-10-07,0
620,1972,1,25,1972-01-23,0
621,1972,2,30,1972-03-04,0
622,1972,3,45,1972-05-01,0
623,1972,4,6,1972-05-14,0
624,1972,5,50,1972-06-04,0
625,1972,6,51,1972-07-02,0
626,1972,7,38,1972-07-15,0
627,1972,8,20,1972-07-30,0
628,1972,9,70,1972-08-13,0
629,1972,10,14,1972-09-10,0
630,1972,11,48,1972-09-24,0
631,1972,12,46,1972-10-08,0
632,1971,1,30,1971-03-06,0
633,1971,2,49,1971-04-18,0
634,1971,3,6,1971-05-23,0
635,1971,4,39,1971-06-20,0
636,1971,5,34,1971-07-04,0
637,1971,6,9,1971-07-17,0
638,1971,7,20,1971-08-01,0
639,1971,8,70,1971-08-15,0
640,1971,9,14,1971-09-05,0
641,1971,10,48,1971-09-19,0
642,1971,11,46,1971-10-03,0
643,1970,1,30,1970-03-07,0
644,1970,2,45,1970-04-19,0
645,1970,3,6,1970-05-10,0
646,1970,4,13,1970-06-07,0
647,1970,5,39,1970-06-21,0
648,1970,6,51,1970-07-05,0
649,1970,7,38,1970-07-18,0
650,1970,8,10,1970-08-02,0
651,1970,9,70,1970-08-16,0
652,1970,10,14,1970-09-06,0
653,1970,11,52,1970-09-20,0
654,1970,12,46,1970-10-04,0
655,1970,13,32,1970-10-25,0
656,1969,1,30,1969-03-01,0
657,1969,2,49,1969-05-04,0
658,1969,3,6,1969-05-18,0
659,1969,4,39,1969-06-21,0
660,1969,5,51,1969-07-06,0
661,1969,6,9,1969-07-19,0
662,1969,7,20,1969-08-03,0
663,1969,8,14,1969-09-07,0
664,1969,9,48,1969-09-20,0
665,1969,10,46,1969-10-05,0
666,1969,11,32,1969-10-19,0
667,1968,1,30,1968-01-01,0
668,1968,2,45,1968-05-12,0
669,1968,3,6,1968-05-26,0
670,1968,4,13,1968-06-09,0
671,1968,5,39,1968-06-23,0
672,1968,6,53,1968-07-07,0
673,1968,7,38,1968-07-20,0
674,1968,8,20,1968-08-04,0
675,1968,9,14,1968-09-08,0
676,1968,10,52,1968-09-22,0
677,1968,11,46,1968-10-06,0
678,1968,12,32,1968-11-03,0
679,1967,1,30,1967-01-02,0
680,1967,2,6,1967-05-07,0
681,1967,3,39,1967-06-04,0
682,1967,4,13,1967-06-18,0
683,1967,5,54,1967-07-02,0
684,1967,6,9,1967-07-15,0
685,1967,7,20,1967-08-06,0
686,1967,8,48,1967-08-27,0
687,1967,9,14,1967-09-10,0
688,1967,10,46,1967-10-01,0
689,1967,11,32,1967-10-22,0
690,1966,1,6,1966-05-22,0
691,1966,2,13,1966-06-12,0
